Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Luvthang Pres: Young Marco & San Soda,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T08:00:00.000,"Young Marco, San Soda, Jana Falcon, Mr. Fonk, Vinc",Prince Charles,/events/989762,203
"Koffäin with Soulphiction, S3A, Black Loops a.m",2017-09-01T00:00:00.000,2017-09-01T20:00:00.000,2017-09-02T09:00:00.000,"Soulphiction, S3A, Black Loops, Innocent Soul, Jesse Bru, Turkish",[ipsə],/events/1003663,105
Stützpunkt with nthng & Jeff Rushin,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T11:00:00.000,"nthng, Jeff Rushin, ONNI, Chami, Minijob, Background Radiation",Humboldthain Club,/events/995668,100
"Syndikat with Noir, Channel X,..",2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T11:00:00.000,"Noir, Channel X, Lukas Meunier, Anton Johnsen, Lucas Tesoin, Thomas Maschitzke",Ritter Butzke,/events/998582,88
…Get Perlonized,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"Cabanne, Dandy Jack, Sammy Dee, Zip",Berghain | Panorama Bar | Säule,/events/1001888,84
"Griessmuehle w./ Reeko, P.E.A.R.L. & Tyree Cooper",2017-09-01T00:00:00.000,2017-09-01T22:00:00.000,2017-09-02T22:00:00.000,"Reeko, P.E.A.R.L., Måtyrer, Dornen, Acierate, Tham, Tyree Cooper, RNDM, Richard Zepezauer, Digital Groove Affair, Eric Cloutier, Joel Alter, Samuel Gieben",Griessmuehle,/events/999210,77
Circus Birgit / Part 1,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T10:00:00.000,"Thomas Schumacher, Soul Button, DJ Jauche, Red pig flower, Broschek, Modest Crow, Andi de Luxe",Birgit,/events/1003461,70
"Music Lab with Amine Edge & Dance, S L F & More",2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T10:00:00.000,"Amine Edge & DANCE, S L F, Lenny Posso, Martin Ka",Chalet,/events/987083,55
Liquid Sky Berlin - #Lsb02 Opening Party - Electronic Experimental Musicbar & Videoart Gallery,2017-09-01T00:00:00.000,2017-09-01T20:00:00.000,2017-09-02T06:00:00.000,"Frau Silberfischer, Twin Peetz, Mijk van Dijk, Omsk Information, Sheldon Drake, Bendeg, Daniel Katzenstab, Trig Fardust, Datis 5L, HprScl3, Dr Walker",Liquid Sky Berlin - #LSB02,/events/980201,42
7 Jahre Klangbiotop,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"BMSK, Nina Pixel, PHROND, Djinn, Formless, LXC, O.R., Frank Heise",://about blank,/events/959099,41
Tresor.Klubnacht,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"Aux 88, Delta Funktionen, Dexter, Sarah Miles, Acronym, Sandrien, Marcelus, Chris Braun",Tresor / Globus,/events/1003523,38
unbalanced Club Night,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T06:30:00.000,"More Than, oscargvz, S-Senz, Enzo Pietropaolo",Kantine am Berghain,/events/1000643,29
Manegefrei: Mapu,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T10:00:00.000,"Doctor Dru, Andreas Rauscher, Polyphonprimat, freedomB, Salvo Salvatore, Giocoso, Schou",Burg Schnabel,/events/1001942,29
Disturbed with Dekai,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T08:00:00.000,"Oliver Raumklang, Bombata & The Fox, Yves Meyer, Leving",Void Club,/events/998378,26
Die Letzte Wiese,2017-09-01T00:00:00.000,2017-09-01T15:00:00.000,2017-09-03T22:00:00.000,"Kyle Geiger, Héctor Oaks, DJ Emerson, Emmanuel, Pierre Deutschmann, Dompe, Kaldera, deKai, Roland Werk, Dominik Vaillant, Background Radiation, Chris von B., Chris Kleinmann, Robert Egenolf, TKR, Fugal, Esvogt, Oliver Schädel, Schädel, Nostitz, Dojas, Ionah Inept, Bert Radscho",Am Seelübber See 61 / 17291 Seelübbe,/events/1002773,26
"8 Jahre Renates Heimkinder /w. Tim Xavier, Ferdinand Dreyssig, Marcel Freigeist & More",2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"Tim Xavier, Ferdinand Dreyssig, Marcel Freigeist, Lee Jokes, Q.rios & Knopf, BARTi, Chlass, Olek, Jack Jenson, Swam:Thing",Renate,/events/1003627,26
Katermukke - Click Click / Sven Tasnadi / Sascha Cawa / Tom Atlas / Red Robin & Sebastian,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"Click | Click, Sven Tasnadi, Sascha Cawa, Red Robin, Sebastian Klenk",Kater Blau,/events/996173,24
Teklife Berlin,2017-09-01T00:00:00.000,2017-09-01T23:30:00.000,2017-09-02T08:00:00.000,"DJ Spinn, DJ Paypal, DJ Taye, Soulmind",Gretchen,/events/997537,24
10 Years Air London,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T11:00:00.000,"Point G, Bill Patrick, Robert Dietz, Shaun Reeves, Amir Alexander, Jon Woodall",Watergate,/events/1003971,24
"Bambule.Berlin mit Groej, Jans3n & Oaky",2017-09-01T00:00:00.000,2017-09-01T19:00:00.000,2017-09-02T07:00:00.000,Oaky,Minimal Bar,/events/981827,24
"Disco Train with Amir, Charlie Smooth and Jochen Discomeyer",2017-09-01T00:00:00.000,2017-09-01T22:00:00.000,2017-09-02T06:30:00.000,"Charlie Smooth, Jochen Discomeyer",Crack Bellmer,/events/1004442,22
Wild AT Gate *Make a Wish*,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"Chorris, D Lewis, Koljah, Suit Kei, Devan, Jased, Lilithh",Golden Gate,/events/999043,18
Saisoneröffnung / Anfeiern,2017-09-01T00:00:00.000,2017-09-01T23:00:00.000,2017-09-02T07:00:00.000,"Moog Conspiracy, ROEGLIN, Der Kosmonaut, Joax Col, Nuwanda",Kultstätte Keller,/events/1004343,16
Drone-Übernachtung // Sleepover Drone #3,2017-09-01T00:00:00.000,2017-09-01T23:30:00.000,2017-09-02T12:00:00.000,"Platonic, Faru, Samin Son",Modular+,/events/1006220,16
Aycb Labelnacht,2017-09-01T00:00:00.000,2017-09-01T23:59:00.000,2017-09-02T12:00:00.000,"DJ Boss, Patrick DSP, Housemeister, Dinamite, Axiom (CL), ElectroDon, SV3N",Lokschuppen Berlin,/events/993418,14
Mingled,2017-09-01T00:00:00.000,2017-09-01T21:00:00.000,2017-09-02T03:00:00.000,Marcel da Kinky Koala,Cafe Futuro,/events/1007307,14
Choreos,2017-08-31T00:00:00.000,2017-08-31T20:00:00.000,2017-09-01T23:59:00.000,,Berghain | Panorama Bar | Säule,/events/996726,13
Casual Süss,2017-09-01T00:00:00.000,2017-09-01T20:00:00.000,2017-09-02T09:00:00.000,"Dennis Rees, A.N.I.C.E., Pascale Voltaire, Sascha Flux",Süss War Gestern,/events/1007266,11
