Event name,Evend ID,Date,Start Time,Event URL,Artist ID,Artist,Venue ID,Venue Name,Venue URL,Venue Area ID,Venue Area Name,Venue Area Country ID,Venue Area Country URL Code,guests
Echelon Festival 2025,2059257,2025-08-15T00:00:00.000,2025-08-15T14:00:00.000,/events/2059257,1008,Monika Kruse,131638,US-Kaserne Bad Aibling,/clubs/131638,357,Bavaria,12,DE,0
Echelon Festival 2025,2059257,2025-08-15T00:00:00.000,2025-08-15T14:00:00.000,/events/2059257,28956,Angerfist,131638,US-Kaserne Bad Aibling,/clubs/131638,357,Bavaria,12,DE,0
Echelon Festival 2025,2059257,2025-08-15T00:00:00.000,2025-08-15T14:00:00.000,/events/2059257,130021,CARV,131638,US-Kaserne Bad Aibling,/clubs/131638,357,Bavaria,12,DE,0
Echelon Festival 2025,2059257,2025-08-15T00:00:00.000,2025-08-15T14:00:00.000,/events/2059257,64166,I Hate Models,131638,US-Kaserne Bad Aibling,/clubs/131638,357,Bavaria,12,DE,0
Echelon Festival 2025,2059257,2025-08-15T00:00:00.000,2025-08-15T14:00:00.000,/events/2059257,101751,Kalte Liebe,131638,US-Kaserne Bad Aibling,/clubs/131638,357,Bavaria,12,DE,0
Ikarus Festival 2025,2005844,2025-06-06T00:00:00.000,2025-06-06T14:00:00.000,/events/2005844,66427,Alignment,138976,Allgäu Airport - Flughafen Memmingen,/clubs/138976,357,Bavaria,12,DE,19
Ikarus Festival 2025,2005844,2025-06-06T00:00:00.000,2025-06-06T14:00:00.000,/events/2005844,6268,Boris Brejcha,138976,Allgäu Airport - Flughafen Memmingen,/clubs/138976,357,Bavaria,12,DE,19
Ikarus Festival 2025,2005844,2025-06-06T00:00:00.000,2025-06-06T14:00:00.000,/events/2005844,101751,Kalte Liebe,138976,Allgäu Airport - Flughafen Memmingen,/clubs/138976,357,Bavaria,12,DE,19
Concert: Kalte Liebe,2051011,2024-12-13T00:00:00.000,2024-12-13T20:00:00.000,/events/2051011,101751,Kalte Liebe,15739,elipamanoke,/clubs/15739,149,Leipzig,12,DE,19
Concert: Kalte Liebe,2051011,2024-12-13T00:00:00.000,2024-12-13T20:00:00.000,/events/2051011,142427,atzenpunk,15739,elipamanoke,/clubs/15739,149,Leipzig,12,DE,19
Kalte Liebe /// Träume Ohne Wert Tour 2024 /// München,1918228,2024-12-01T00:00:00.000,2024-12-01T20:00:00.000,/events/1918228,101751,Kalte Liebe,4829,Rote Sonne,/clubs/4829,151,Munich,12,DE,85
Scheinwelt Indoor Festival 2024 /w. Kalte Liebe & In Verruf,1999177,2024-11-15T00:00:00.000,2024-11-15T21:00:00.000,/events/1999177,101751,Kalte Liebe,246869,Kaminwerk Memmingen,,357,Bavaria,12,DE,6
Scheinwelt Indoor Festival 2024 /w. Kalte Liebe & In Verruf,1999177,2024-11-15T00:00:00.000,2024-11-15T21:00:00.000,/events/1999177,106905,In Verruf,246869,Kaminwerk Memmingen,,357,Bavaria,12,DE,6
