Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Bassiani/Horoom: DVS1 // Ndrx // Bassil // Saoirse // Kvanchi // ninasupsa,2022-05-06T00:00:00.000,2022-05-06T23:59:00.000,2022-05-07T12:00:00.000,"DVS1, Ndrx, Bassil, Kvanchi, ninasupsa, Saoirse",Bassiani,/events/1525576,13
KHIDI 中 Boyd Schidt ❚ Tapefeed ❚ Unhuman ❚ Uun ❚ Pablo Bozzi,2022-05-06T00:00:00.000,2022-05-06T23:59:00.000,2022-05-07T12:00:00.000,"Boyd Schidt, Tapefeed, Unhuman, Uun, Liza Rivs, NEUX, Pablo Bozzi",KHIDI,/events/1523576,5
TSRE • Spacehall: Traumer - Diego Krause - KAVEL - Nika Vashakidze,2022-05-06T00:00:00.000,2022-05-06T23:00:00.000,2022-05-07T12:00:00.000,"Traumer, KAVEL, Diego Krause",Spacehall,/events/1525732,4
Daraba: Sikha - Lasha Guruli - Yamoc,2022-05-06T00:00:00.000,2022-05-06T23:00:00.000,2022-05-08T04:00:00.000,"Sikha, Lasha Guruli, Yamoc",DRB by Art-Cafe Home,/events/1530123,2
Mafalda - Interstellar Funk - Berika / Spacejam 92 - Tade - Mocongo,2022-05-06T00:00:00.000,2022-05-06T23:59:00.000,2022-05-08T10:00:00.000,"Mafalda, Interstellar Funk, Berika, Tade, Mocongo, Tobako Tween, Jd J",Museum,/events/1530197,1
TES ± LUST: Massimiliano Pagliara - DJ DELOREAN - KUBICK - AVIVX - Sportsmanship,2022-05-06T00:00:00.000,2022-05-06T22:00:00.000,2022-05-07T08:00:00.000,"Massimiliano Pagliara, DJ Delorean, Sportsmanship, AVIVX",TES,/events/1531456,0
Phreek,2022-05-07T00:00:00.000,2022-05-07T23:00:00.000,2022-05-08T06:00:00.000,Grace Sands,TBA - Secret Location,/events/1521421,7
Horoom: Dito // Hamatsuki // Seqta,2022-05-07T00:00:00.000,2022-05-07T23:59:00.000,2022-05-08T12:00:00.000,"Dito, Hamatsuki, Seqta",Bassiani,/events/1527759,4
Daraba: Sikha - Lasha Guruli - Yamoc,2022-05-06T00:00:00.000,2022-05-06T23:00:00.000,2022-05-08T04:00:00.000,"Sikha, Lasha Guruli, Yamoc",DRB by Art-Cafe Home,/events/1530123,2
PSYLOSOPHY: PSY-TRANCE & DnB ONE DAY FESTIVAL (StandWithUkraine Donation),2022-05-07T00:00:00.000,2022-05-07T17:00:00.000,2022-05-08T12:00:00.000,,TBA - Tbilisi Sea,/events/1526793,2
Mafalda - Interstellar Funk - Berika / Spacejam 92 - Tade - Mocongo,2022-05-06T00:00:00.000,2022-05-06T23:59:00.000,2022-05-08T10:00:00.000,"Mafalda, Interstellar Funk, Berika, Tade, Mocongo, Tobako Tween, Jd J",Museum,/events/1530197,1
"KHIDI x G2: CLOCKWORKS, Frequency Shifter, SANI",2022-05-07T00:00:00.000,2022-05-07T23:59:00.000,2022-05-08T09:00:00.000,"Frequency Shifter, Sani",KHIDI,/events/1530469,1
GALA: Kettama - Generali Minerali - Teen A Teen - Rydeen,2022-05-07T00:00:00.000,2022-05-07T23:59:00.000,2022-05-08T10:00:00.000,"KETTAMA, Generali Minerali, Teen A Teen",Museum,/events/1531162,1
TES: Generali Minerali - Neux - FJAARTAF,2022-05-12T00:00:00.000,2022-05-12T22:00:00.000,2022-05-13T07:00:00.000,"NEUX, Generali Minerali",TES,/events/1534255,1
Gio Shengelia and Bero,2022-05-13T00:00:00.000,2022-05-13T22:00:00.000,2022-05-14T07:00:00.000,"Gio Shengelia, Bero",TES,/events/1534448,0
Sazamtro invites Slow Life - Cecilio - Laurine - Paolo Mosca,2022-05-13T00:00:00.000,2022-05-13T23:30:00.000,2022-05-14T16:00:00.000,"Vasil, AudioSpace, Cecilio, Laurine, Paolo Mosca, Levi Love Disco, Tobako Tween, Gabunia, Abdali, Rati",Sazamtro,/events/1533636,14
