Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Left Bank Clubnight: Bekuchi b2b Hudson • Lournco Lvgs • Natuta,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-03T10:00:00.000,Bekuchi,Left Bank,/events/1871446,32
Left Bank Clubnight: Bekuchi b2b Hudson • Lournco Lvgs • Natuta,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-03T10:00:00.000,Natuta,Left Bank,/events/1871446,32
Aprili- Kdema / Sevda b2b Audio Space,2024-03-01T00:00:00.000,2024-03-01T23:00:00.000,2024-03-02T05:00:00.000,Sevda,Aprili,/events/1874763,3
Aprili- Kdema / Sevda b2b Audio Space,2024-03-01T00:00:00.000,2024-03-01T23:00:00.000,2024-03-02T05:00:00.000,AudioSpace,Aprili,/events/1874763,3
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Frequency Shifter,KHIDI,/events/1859766,38
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Lee Holman,KHIDI,/events/1859766,38
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Nastia,KHIDI,/events/1859766,38
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Saphileaum,KHIDI,/events/1859766,38
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Stanislav Tolkachev,KHIDI,/events/1859766,38
KHIDI 中 NECHTO: Frequency Shifter ❚ Lee Holman ❚ Nastia ❚ Saphileaum ❚  Stanislav Tolkachev,2024-03-01T00:00:00.000,2024-03-01T23:59:00.000,2024-03-02T11:30:00.000,Puritan,KHIDI,/events/1859766,38
